Project;Network;Activity;Customer;WBS;Opr. short text;PM;TL;Latest Start Date;Latest Start Week;Latest Finish Date;Latest Finish Week;Activity Code;Original Finish Date;Latest Finish Day;Activity Description;Actual work;Work;Work Center;WBS Type
P.0022674;P.0022674;0281;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.001;ENG URM_CH CHUNKER 3 BLADES SLH;R.H. Koezema;G. Fransen/G.M. Verwaal;20250402;14;20250411;15;EN;20250411;Friday;Engineering;                                                                                              0.000;                                                                                               14.4;110PAS;61
P.0022674;P.0022674;0287;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.002;ENG URM_EX EXTRUDER 3-ROLL;R.H. Koezema;G. Fransen/G.M. Verwaal;20250404;14;20250411;15;EN;20250411;Friday;Engineering;                                                                                              0.000;                                                                                                7.2;110PAS;09
P.0022674;P.0022674;0294;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.003;ENG URM_TB INFEED CONV QR GS FB;R.H. Koezema;G. Fransen/G.M. Verwaal;20250402;14;20250411;15;EN;20250411;Friday;Engineering;                                                                                              0.000;                                                                                               14.4;110PAS;61
P.0022674;P.0022674;0300;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.004;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0306;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.005;ENG URM_PR SCORING DISCS;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;61
P.0022674;P.0022674;0312;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.006;ENG URM_FB FOLDING BELTS;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;09
P.0022674;P.0022674;0319;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.007;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0325;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.008;ENG URM_PR PRESSURE ROLLER NON DRIVEN;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;61
P.0022674;P.0022674;0331;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.009;ENG URM_QR QUICK REDUCER LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250321;12;20250328;13;EN;20250328;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;62
P.0022674;P.0022674;0337;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.010;ENG URM_LP LAPPER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;09
P.0022674;P.0022674;0344;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.011;ENG URM_TB INFEED CONVEYOR QR-GS-CS LEWW;R.H. Koezema;G. Fransen/G.M. Verwaal;20250328;13;20250404;14;EN;20250404;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0350;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.012;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0356;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.013;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0362;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.014;ENG URM_QR QR WITH PRESS ROL LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250409;15;20250418;16;EN;20250418;Friday;Engineering;                                                                                              0.000;                                                                                               14.4;110PAS;62
P.0022674;P.0022674;0368;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.015;ENG URM_RR RETRACT-RECIPROCATING SYSTEM;R.H. Koezema;G. Fransen/G.M. Verwaal;20250411;15;20250418;16;EN;20250418;Friday;Engineering;                                                                                              0.000;                                                                                                7.2;110PAS;62
P.0022674;P.0022674;0374;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.016;ENG URM_RC ROTARY LENGTH CUTTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;09
P.0022674;P.0022674;0381;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.017;ENG URM_TB INFEED CONVEYOR QR-GS-CS LEWW;R.H. Koezema;G. Fransen/G.M. Verwaal;20250328;13;20250404;14;EN;20250404;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0387;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.018;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0393;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.019;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0399;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.020;ENG URM_QR QR WITH PRESS ROL LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250321;12;20250328;13;EN;20250328;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;62
P.0022674;P.0022674;0405;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.021;ENG URM_TB RESTING CONVEYOR;R.H. Koezema;G. Fransen/G.M. Verwaal;20250624;26;20250711;28;EN;20250711;Friday;Engineering;                                                                                              0.000;                                                                                               50.4;110PAS;69
P.0022674;P.0022674;0411;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.022;ENG URM_FW FRAME RESTING COOLING SYSTEM;R.H. Koezema;G. Fransen/G.M. Verwaal;20250624;26;20250711;28;EN;20250711;Friday;Engineering;                                                                                              0.000;                                                                                               54.0;180;08
P.0022674;P.0022674;0418;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.023;ENG URM_TB INTERM CNV TBRE LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250328;13;20250404;14;EN;20250404;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0424;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.024;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0430;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.025;ENG URM_HF SIDE FILLER FLOUR SIFTER AUTO;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;61
P.0022674;P.0022674;0436;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.026;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0442;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.027;ENG URM_QR QUICK REDUCER LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250321;12;20250328;13;EN;20250328;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;62
P.0022674;P.0022674;0448;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.028;ENG URM_TB INTERM CONV QR GS LEWW1000 CR;R.H. Koezema;G. Fransen/G.M. Verwaal;20250328;13;20250404;14;EN;20250404;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0454;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.029;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0460;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.030;ENG URM_HF SIDE FILLER FLOUR SIFTER AUTO;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;61
P.0022674;P.0022674;0466;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.031;ENG URM_CR CROSS ROLLER LEWW1200;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;61
P.0022674;P.0022674;0472;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.032;ENG URM_GS GAUGING STATION LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250321;12;20250328;13;EN;20250328;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;62
P.0022674;P.0022674;0478;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.033;ENG URM_TB INTERM CNV LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250328;13;20250404;14;EN;20250404;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0484;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.034;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0490;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.035;ENG URM_GS GAUGING STATION LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250321;12;20250328;13;EN;20250328;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;62
P.0022674;P.0022674;0496;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.036;ENG URM_TB INTERM CNV LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250328;13;20250404;14;EN;20250404;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0502;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.037;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0508;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.038;ENG URM_HF SIDE FILLER FLOUR SIFTER AUTO;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;61
P.0022674;P.0022674;0514;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.039;ENG URM_SI FLOUR SIFTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250314;11;20250321;12;EN;20250321;Friday;Engineering;                                                                                              0.000;                                                                                                0.1;110PAS;61
P.0022674;P.0022674;0520;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.040;ENG URM_GS GAUGING STATION LEWW1000;R.H. Koezema;G. Fransen/G.M. Verwaal;20250321;12;20250328;13;EN;20250328;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;62
P.0022674;P.0022674;0526;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.041;ENG Jowa Specs;R.H. Koezema;G. Fransen/G.M. Verwaal;20250522;21;20250605;23;EN;20250605;Thursday;Engineering;                                                                                              0.000;                                                                                               30.4;110PAS;01
P.0022674;P.0022674;0536;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.901;Design Freeze 2;R.H. Koezema;G. Fransen/G.M. Verwaal;20250210;07;20250530;22;PG;20250530;Friday;Design Freeze 2;                                                                                              0.000;                                                                                               19.1;110PAS;EM
P.0022674;P.0022674;0535;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.901;Drive Scheme;R.H. Koezema;G. Fransen/G.M. Verwaal;20250210;07;20250404;14;DS;20250404;Friday;Drive Scheme;                                                                                              0.000;                                                                                               25.5;110PAS;EM
P.0022674;P.0022674;0534;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.901;Customer Drawing & Risk Analysis;R.H. Koezema;G. Fransen/G.M. Verwaal;20250210;07;20251017;42;CD;20251017;Friday;Customer Drawing & Risk Analysis;                                                                                              0.000;                                                                                               31.8;110PAS;EM
P.0022674;P.0022674;0539;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.901;SR (Safety Review);R.H. Koezema;G. Fransen/G.M. Verwaal;20250207;06;20251128;48;SR;20251128;Friday;Safety Review;                                                                                              0.000;                                                                                                0.0;110PAS;EM
P.0022674;P.0022674;0533;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.901;Eng Mechanical overall;R.H. Koezema;G. Fransen/G.M. Verwaal;20250207;06;20260116;03;EM;20260116;Friday;Engineering Mechanical;                                                                                             16.000;                                                                                               50.9;110PAS;EM
P.0022674;P.0022674;0540;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.901.001;ENG ILC ENG Mechanical (Overall);R.H. Koezema;G. Fransen/G.M. Verwaal;20250207;06;20260526;22;IM;20260526;Tuesday;Mechanical overall ILC;                                                                                              0.000;                                                                                                1.0;116;LM
P.0022674;P.0022674;0541;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.902;Eng SW Development;R.H. Koezema;G. Fransen/G.M. Verwaal;20250207;06;20251121;47;SD;20251121;Friday;Engineering Software;                                                                                              0.000;                                                                                              266.1;130;SD
P.0022674;P.0022674;0548;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.906;Eng SW Testing;R.H. Koezema;G. Fransen/G.M. Verwaal;20251124;48;20260102;01;ST;20260102;Friday;S.W. Testing;                                                                                              0.000;                                                                                              180.7;140;ST
P.0022674;P.0022674;0551;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.911;ENG URM_ME ELECTRICAL CABINET;R.H. Koezema;G. Fransen/G.M. Verwaal;20250520;21;20250527;22;EN;20250527;Tuesday;Engineering;                                                                                              0.000;                                                                                                4.5;110PAS;6E
P.0022674;P.0022674;0559;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.912;ENG Safety PLC Testing URM_CO CONTROLS S;R.H. Koezema;G. Fransen/G.M. Verwaal;20251124;48;20260102;01;HT;20260102;Friday;Hardware Testing;                                                                                              0.000;                                                                                               24.8;120;CH
P.0022674;P.0022674;0557;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.912;ENG URM_CO CONTROLS SLH;R.H. Koezema;G. Fransen/G.M. Verwaal;20250326;13;20250521;21;EN;20250521;Wednesday;Engineering;                                                                                              0.000;                                                                                              247.8;120;CH
P.0022674;P.0022674;0563;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.01.913;ENG URM_ME CABLE TRUNKING & HMI HOUSING;R.H. Koezema;G. Fransen/G.M. Verwaal;20250513;20;20250606;23;EN;20250606;Friday;Engineering;                                                                                              0.000;                                                                                               82.8;110PAS;CT
P.0022674;P.0022674;0680;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.001;ENG URM_BM BRUSH MODULE;R.H. Koezema;G. Fransen/G.M. Verwaal;20250417;16;20250425;17;EN;20250425;Friday;Engineering;                                                                                              0.000;                                                                                                2.8;110PAS;61
P.0022674;P.0022674;0686;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.002;ENG URM_TB BASE CUTTING AND SPREADING MO;R.H. Koezema;G. Fransen/G.M. Verwaal;20250425;17;20250502;18;EN;20250502;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;09
P.0022674;P.0022674;0693;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.003;ENG URM_RC CUTTING KNIVES HINGED;R.H. Koezema;G. Fransen/G.M. Verwaal;20250425;17;20250502;18;EN;20250502;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0699;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.004;ENG URM_DR DOUGH RETURN CROSS DISCH;R.H. Koezema;G. Fransen/G.M. Verwaal;20250425;17;20250502;18;EN;20250502;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;09
P.0022674;P.0022674;0706;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.005;ENG URM_TB CUTTING CONVEYOR;R.H. Koezema;G. Fransen/G.M. Verwaal;20250502;18;20250509;19;EN;20250509;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0712;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.006;ENG URM_RC BASE ROTARY CUTTER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250502;18;20250509;19;EN;20250509;Friday;Engineering;                                                                                              0.000;                                                                                                2.8;110PAS;61
P.0022674;P.0022674;0718;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.007;ENG URM_AU ROTATE AND ALIGN UNIT;R.H. Koezema;G. Fransen/G.M. Verwaal;20250430;18;20250509;19;EN;20250509;Friday;Engineering;                                                                                              0.000;                                                                                               14.4;110PAS;65
P.0022674;P.0022674;0724;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.008;ENG URM_TB OUTFEED CONV ROTATE AND ALIGN;R.H. Koezema;G. Fransen/G.M. Verwaal;20250502;18;20250509;19;EN;20250509;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;61
P.0022674;P.0022674;0730;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.009;ENG URM_PR DOUGH STRETCHING ROLLER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250417;16;20250425;17;EN;20250425;Friday;Engineering;                                                                                              0.000;                                                                                                7.6;110PAS;02
P.0022674;P.0022674;0737;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.010;ENG URM_TB DEPOSITING CONVEYOR;R.H. Koezema;G. Fransen/G.M. Verwaal;20250516;20;20250530;22;EN;20250530;Friday;Engineering;                                                                                              0.000;                                                                                               28.8;110PAS;61
P.0022674;P.0022674;0743;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.011;ENG Mitlaufende Dosierbrücke;R.H. Koezema;G. Fransen/G.M. Verwaal;20250416;16;20250613;24;EN;20250613;Friday;Engineering;                                                                                              0.000;                                                                                              233.6;110PAS;01
P.0022674;P.0022674;0750;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.012;ENG URM_TB TRANSFER CONVEYOR LEWW1200;R.H. Koezema;G. Fransen/G.M. Verwaal;20250516;20;20250610;24;EN;20250610;Tuesday;Engineering;                                                                                              0.000;                                                                                               71.3;110PAS;61
P.0022674;P.0022674;0756;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.013;ENG URM_TB TRANSFER CONVEYOR LEWW1200;R.H. Koezema;G. Fransen/G.M. Verwaal;20250516;20;20250530;22;EN;20250530;Friday;Engineering;                                                                                              0.000;                                                                                               35.3;110PAS;61
P.0022674;P.0022674;0762;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.014;ENG URM_TB TRANSFER CONVEYOR LEWW1200;R.H. Koezema;G. Fransen/G.M. Verwaal;20250514;20;20250523;21;EN;20250523;Friday;Engineering;                                                                                              0.000;                                                                                               20.9;110PAS;61
P.0022674;P.0022674;0768;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.015;ENG URM_MM V-MOULDER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250507;19;20250516;20;EN;20250516;Friday;Engineering;                                                                                              0.000;                                                                                               20.9;110PAS;62
P.0022674;P.0022674;0774;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.016;ENG URM_VU VACUUM UNIT;R.H. Koezema;G. Fransen/G.M. Verwaal;20250509;19;20250516;20;EN;20250516;Friday;Engineering;                                                                                              0.000;                                                                                                1.9;110PAS;08
P.0022674;P.0022674;0781;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.017;ENG URM_MM MOULDING UNIT OPEN ENDS;R.H. Koezema;G. Fransen/G.M. Verwaal;20250507;19;20250516;20;EN;20250516;Friday;Engineering;                                                                                              0.000;                                                                                               25.2;110PAS;02
P.0022674;P.0022674;0788;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.018;ENG URM_TL TIP LOCKER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250507;19;20250516;20;EN;20250516;Friday;Engineering;                                                                                              0.000;                                                                                               15.2;110PAS;02
P.0022674;P.0022674;0795;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.019;ENG URM_PR PRESSURE ROL DRIVEN LOW PRESS;R.H. Koezema;G. Fransen/G.M. Verwaal;20250417;16;20250425;17;EN;20250425;Friday;Engineering;                                                                                              0.000;                                                                                                0.4;110PAS;09
P.0022674;P.0022674;0802;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.020;ENG URM_TU TURNING PINS;R.H. Koezema;G. Fransen/G.M. Verwaal;20250417;16;20250425;17;EN;20250425;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;02
P.0022674;P.0022674;0809;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.021;ENG URM_TB UNIVERSAL SPREADING CONVEYOR;R.H. Koezema;G. Fransen/G.M. Verwaal;20250417;16;20250425;17;EN;20250425;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;09
P.0022674;P.0022674;0816;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.022;ENG URM_TB UNDERRUNNING CONVEYOR;R.H. Koezema;G. Fransen/G.M. Verwaal;20250527;22;20250613;24;EN;20250613;Friday;Engineering;                                                                                              0.000;                                                                                               37.8;110PAS;09
P.0022674;P.0022674;0823;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.023;ENG URM_SW BASE UNIVERSAL STREWER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250602;23;20250610;24;EN;20250610;Tuesday;Engineering;                                                                                              0.000;                                                                                                2.8;110PAS;61
P.0022674;P.0022674;0829;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.024;ENG URM_SW CHANGE SET UNIVERSAL STREWER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250605;23;20250613;24;EN;20250613;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;02
P.0022674;P.0022674;0836;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.025;ENG URM_SW CHANGE SET UNIVERSAL STREWER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250605;23;20250613;24;EN;20250613;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;02
P.0022674;P.0022674;0843;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.026;ENG URM_SW CHANGE SET UNIVERSAL STREWER;R.H. Koezema;G. Fransen/G.M. Verwaal;20250605;23;20250613;24;EN;20250613;Friday;Engineering;                                                                                              0.000;                                                                                                0.2;110PAS;02
P.0022674;P.0022674;0850;FRESH FOOD & BEVERAGE GROUP AG;P.0022674.02.027;ENG Auffangwanne;R.H. Koezema;G. Fransen/G.M. Verwaal;20250603;23;20250613;24;EN;20250613;Friday;Engineering;                                                                                              0.000;                                                                                               19.2;110PAS;01
